index,team_name,team_name_abb,match_date,vs_or_at,opp_team_abb,opp_team_img_url,finished,w_or_l,score_team,score_opp,league
38,juventus,JUV,10/19,VS,BGN,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/serie-a/retina/7147.vresize.36.36.medium.0.png,False,,,,Serie A
39,juventus,JUV,10/22,VS,LKM,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/europa/7448.vresize.36.36.medium.0.png,False,,,,UCL
40,juventus,JUV,10/26,AT,LEC,https://b.fssta.com/uploads/application/bigboard/soccer/defaultTeamLogo.png,False,,,,Serie A
41,juventus,JUV,10/30,VS,GEN,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/serie-a/retina/7158.vresize.36.36.medium.0.png,False,,,,Serie A
42,juventus,JUV,11/2,AT,TOR,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/serie-a/retina/6399.vresize.36.36.medium.0.png,False,,,,Serie A
43,juventus,JUV,11/6,AT,LKM,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/europa/7448.vresize.36.36.medium.0.png,False,,,,UCL
44,juventus,JUV,11/10,VS,MIL,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/serie-a/retina/6393.vresize.36.36.medium.0.png,False,,,,Serie A
45,liverpool,LIV,8/24,VS,ARS,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/english-premier-league/retina/6145.vresize.36.36.medium.0.png,True,W,3,1,EPL
46,liverpool,LIV,8/31,AT,BUR,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/english-premier-league/retina/8240.vresize.36.36.medium.0.png,True,W,3,0,EPL
47,liverpool,LIV,9/14,VS,NU,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/english-premier-league/retina/6151.vresize.36.36.medium.0.png,True,W,3,1,EPL
48,liverpool,LIV,9/17,AT,NAP,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/serie-a/retina/7151.vresize.36.36.medium.0.png,True,L,0,2,UCL
49,liverpool,LIV,9/22,AT,CHE,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/english-premier-league/retina/6159.vresize.36.36.medium.0.png,True,W,2,1,EPL
50,liverpool,LIV,9/25,AT,MK,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/engl1/7138.vresize.36.36.medium.0.png,False,,,,Lg Cup
51,liverpool,LIV,9/28,AT,SU,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/engl1/6141.vresize.36.36.medium.0.png,False,,,,EPL
52,liverpool,LIV,10/2,VS,RBS,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/soccer/teams/europa/7531.vresize.36.36.medium.0.png,False,,,,UCL
